character;rank;LWO;rank_median;definition;pinyin;decomposition;radical;type;phonetic;semantic;freq1;freq2
鲑;4340;;4340;salmon/ Spheroides vermicularis;guī;⿰鱼圭;鱼;pictophonetic;圭;鱼;397;99,826484223
谔;4341;;4341;candid, frank/ honest speech;è;⿰讠咢;讠;pictophonetic;咢;讠;396;99,82668887
汩;4342;;4342;the sound of running water/ to gurgle/ confused, disorderly;gǔ;⿰氵曰;氵;ideographic;;;396;99,826893517
浣;4343;;4343;to wash, to rinse;huàn;⿰氵完;氵;pictophonetic;完;氵;396;99,827098164
舐;4344;;4344;to lick, to lap up;shì;⿰舌氏;舌;pictophonetic;氏;舌;396;99,827302811
瞭;4345;;4345;bright/ clear-sighted/ to understand;liǎo;⿰目尞;目;pictophonetic;尞;目;395;99,827506941
忻;4346;;4346;pleasant, joyful, delightful;xīn;⿰忄斤;忄;pictophonetic;斤;忄;395;99,827711071
咻;4347;;4347;to shout/ to jeer at;xiū;⿰口休;口;pictophonetic;休;口;394;99,827914684
鹑;4348;;4348;quail/ Turnix species (various);chún;⿰享鸟;鸟;pictophonetic;享;鸟;394;99,828118298
唑;4349;;4349;in chemistry, -azole;zuò;⿰口坐;口;pictophonetic;坐;口;394;99,828321911
懋;4350;;4350;grand, majestic, splendid;mào;⿱楙心;心;pictophonetic;楙;心;393;99,828525008
皎;4351;;4351;white/ bright, brilliant/ clear;jiǎo;⿰白交;白;pictophonetic;交;白;393;99,828728104
诒;4352;;4352;to bequeath, to pass on;yí;⿰讠台;讠;pictophonetic;台;讠;392;99,828930684
麾;4353;;4353;pennant, flag, banner/ to signal to;huī;⿸麻毛;麻;;;;391;99,829132747
辏;4354;;4354;wheel hub/ to converge;còu;⿰车奏;车;pictophonetic;奏;车;390;99,829334293
氐;4355;535;2445;the name of an ancient tribe;dī;⿱氏丶;氏;pictophonetic;;氏;389;99,829535323
冽;4356;;4356;cold and raw/ pure, clear;liè;⿰冫列;冫;pictophonetic;列;冫;389;99,829736352
箕;4357;3846;4102;sieve/ dust pan/ garbage bag;jī;⿱⺮其;⺮;pictophonetic;其;⺮;388;99,829936865
俚;4358;;4358;rustic, vulgar, unpolished/ mean;lǐ;⿰亻里;亻;pictophonetic;里;亻;387;99,830136861
汴;4359;;4359;a river in Henan/ Henan province;biàn;⿰氵卞;氵;pictophonetic;卞;氵;386;99,83033634
宸;4360;;4360;imperial palace;chén;⿱宀辰;宀;pictophonetic;辰;宀;386;99,830535819
芍;4361;3923;4142;peony/ water chestnuts;sháo;⿱艹勺;艹;pictophonetic;勺;艹;385;99,830734781
捱;4362;;4362;to put off, to procrastinate/ to endure;ái;⿰扌厓;扌;pictophonetic;厓;扌;385;99,830933743
摈;4363;;4363;to exclude, to expel, to reject/ to usher;bìn;⿰扌宾;扌;pictophonetic;宾;扌;384;99,831132189
摺;4364;;4364;to bend, to fold/ curved, twisted;zhé;⿰扌習;扌;ideographic;;;384;99,831330634
簦;4365;;4365;bamboo or straw hat/ street-vendor's umbrella;dēng;⿱⺮登;⺮;pictophonetic;登;⺮;384;99,83152908
箔;4366;;4366;screen, foil, plaited matting/ silkworm basket;bó;⿱⺮泊;⺮;pictophonetic;泊;⺮;383;99,831727008
咝;4367;;4367;onomatopoetic, a hissing sound;sī;⿰口丝;口;pictophonetic;丝;口;383;99,831924937
孀;4368;;4368;widow;shuāng;⿰女霜;女;pictophonetic;霜;女;382;99,832122349
怏;4369;;4369;discontented, dispirited, sad;yàng;⿰忄央;忄;pictophonetic;央;忄;381;99,832319244
谝;4370;;4370;to brag, to boast/ to quibble;piǎn;⿰讠扁;讠;pictophonetic;扁;讠;380;99,832515622
砧;4371;;4371;anvil, flat stone;zhēn;⿰石占;石;pictophonetic;占;石;379;99,832711484
馕;4372;;4372;naan;náng;⿰饣囊;饣;pictophonetic;囊;饣;379;99,832907346
耄;4373;;4373;selderly person/ old, senile;mào;⿱老毛;老;pictophonetic;毛;老;379;99,833103207
罂;4374;;4374;long-necked bottle or jar;yīng;⿱⿰贝贝缶;缶;pictophonetic;;缶;379;99,833299069
漕;4375;;4375;canal, watercourse/ to transport by sea;cáo;⿰氵曹;氵;pictophonetic;曹;氵;379;99,83349493
沣;4376;;4376;a river in Shanxi province;fēng;⿰氵丰;氵;pictophonetic;丰;氵;378;99,833690275
栾;4377;;4377;varnish tree/ surname;luán;⿱亦木;木;pictophonetic;亦;木;378;99,83388562
榘;4378;;4378;rule, regulation/ pattern/ to carve;jǔ;⿱矩木;木;ideographic;;;378;99,834080965
烷;4379;;4379;alkane;wán;⿰火完;火;pictophonetic;完;火;378;99,834276309
榷;4380;;4380;footbridge/ levy, toll/ monopoly;què;⿰木隺;木;pictophonetic;隺;木;375;99,834470104
俑;4381;;4381;wooden figure buried with dead;yǒng;⿰亻甬;亻;pictophonetic;甬;亻;375;99,834663898
沱;4382;;4382;river, stream, waterway/ to flow;tuó;⿰氵它;氵;pictophonetic;它;氵;375;99,834857693
缜;4383;;4383;fine, detailed/ closely woven;zhěn;⿰纟真;纟;pictophonetic;真;纟;375;99,835051487
鹫;4384;;4384;condor, vulture;jiù;⿱就鸟;鸟;pictophonetic;就;鸟;375;99,835245282
蛳;4385;;4385;a snail with a spiral shell;sī;⿰虫师;虫;pictophonetic;师;虫;374;99,835438559
剽;4386;;4386;to rob, to plunder, to slice off/ nimble, quick;piāo;⿰票刂;刂;pictophonetic;票;刂;373;99,83563132
衢;4387;;4387;highway/ thoroughfare, intersection;qú;⿻行瞿;行;pictophonetic;瞿;行;373;99,835824081
泗;4388;;4388;mucus/ to sniffle/ a river in Shandong province;sì;⿰氵四;氵;pictophonetic;四;氵;373;99,836016842
臊;4389;3624;4006;shy, bashful/ rank, fetid/ the smell of urine;sāo;⿰⺼喿;⺼;pictophonetic;喿;⺼;372;99,836209086
瘴;4390;;4390;malaria/ miasma, pestilential vapor;zhàng;⿸疒章;疒;pictophonetic;章;疒;371;99,836400813
酚;4391;;4391;carbolic acid/ phenol;fēn;⿰酉分;酉;pictophonetic;分;酉;370;99,836592024
